epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,77712.5,0.7807,0.61352,0.95105,0.85751,0.81982,0.86893,0.69867,0.73579,0.58088,0.9343,0.0068716,0.0068716,0.0068716
160,78271,0.77591,0.61163,0.94935,0.85476,0.82712,0.87004,0.69993,0.73601,0.5802,0.93414,0.0068518,0.0068518,0.0068518
161,78831.8,0.76952,0.5976,0.94929,0.85735,0.8288,0.86937,0.69779,0.73562,0.57958,0.93405,0.006832,0.006832,0.006832
162,79361.5,0.77088,0.59747,0.95354,0.85248,0.83079,0.86919,0.69775,0.73506,0.57813,0.93399,0.0068122,0.0068122,0.0068122
163,79897.3,0.77257,0.60652,0.94935,0.84808,0.83348,0.86917,0.69796,0.73319,0.57618,0.93366,0.0067924,0.0067924,0.0067924
164,80430.2,0.7714,0.59696,0.94514,0.84674,0.83397,0.86399,0.6937,0.73232,0.57482,0.93342,0.0067726,0.0067726,0.0067726
165,80994.9,0.77412,0.58753,0.9521,0.84513,0.83506,0.86407,0.6938,0.7318,0.57559,0.93316,0.0067528,0.0067528,0.0067528
166,81553,0.77589,0.59615,0.94806,0.83633,0.82871,0.85564,0.69244,0.73089,0.57572,0.93297,0.006733,0.006733,0.006733
167,82095.4,0.77396,0.59077,0.9467,0.8357,0.83066,0.85495,0.69166,0.73024,0.57635,0.93293,0.0067132,0.0067132,0.0067132
168,82629.3,0.76481,0.60383,0.94441,0.83578,0.83092,0.85474,0.69185,0.7297,0.57645,0.93279,0.0066934,0.0066934,0.0066934
169,83178.3,0.75904,0.58389,0.94147,0.8336,0.83032,0.85453,0.69259,0.72897,0.57616,0.93266,0.0066736,0.0066736,0.0066736
170,83735.9,0.76454,0.59136,0.94251,0.83007,0.83057,0.85521,0.69324,0.72861,0.57575,0.93266,0.0066538,0.0066538,0.0066538
171,84278.5,0.76457,0.5789,0.94507,0.83143,0.83103,0.85655,0.6957,0.7288,0.57694,0.9325,0.006634,0.006634,0.006634
172,84834.2,0.76575,0.58811,0.94407,0.89958,0.7844,0.85585,0.69572,0.7285,0.57717,0.93237,0.0066142,0.0066142,0.0066142
173,85357.1,0.76783,0.58266,0.94701,0.89951,0.78497,0.85761,0.69779,0.72729,0.57795,0.93214,0.0065944,0.0065944,0.0065944
174,85865.6,0.76382,0.57739,0.94221,0.90133,0.78472,0.86274,0.70371,0.72667,0.57741,0.93216,0.0065746,0.0065746,0.0065746
175,86381.3,0.75719,0.58203,0.9404,0.90149,0.78484,0.86231,0.7034,0.72581,0.57573,0.93207,0.0065548,0.0065548,0.0065548
176,86897.7,0.76365,0.5871,0.94549,0.90317,0.78387,0.86248,0.70319,0.72585,0.57391,0.93189,0.006535,0.006535,0.006535
